symbol,start_open_time_utc,end_open_time_utc,end_close_time_utc,k,low_min,high_max,move_pct_A,open_first,close_last,move_pct_B
ROSEUSDT,2026-02-22T20:00:00Z,2026-02-23T04:00:00Z,2026-02-23T04:59:59Z,9,0.01176,0.01284,9.1837,0.0128,0.01189,-7.1094
ROSEUSDT,2026-02-22T20:00:00Z,2026-02-23T05:00:00Z,2026-02-23T05:59:59Z,10,0.01176,0.01284,9.1837,0.0128,0.01209,-5.5469
ROSEUSDT,2026-02-22T23:00:00Z,2026-02-23T06:00:00Z,2026-02-23T06:59:59Z,8,0.01176,0.0128,8.8435,0.01268,0.01231,-2.918
ROSEUSDT,2026-02-22T23:00:00Z,2026-02-23T07:00:00Z,2026-02-23T07:59:59Z,9,0.01176,0.0128,8.8435,0.01268,0.01232,-2.8391
ROSEUSDT,2026-02-22T23:00:00Z,2026-02-23T08:00:00Z,2026-02-23T08:59:59Z,10,0.01176,0.0128,8.8435,0.01268,0.01219,-3.8644
ROSEUSDT,2026-02-23T00:00:00Z,2026-02-23T09:00:00Z,2026-02-23T09:59:59Z,10,0.01176,0.01274,8.3333,0.01273,0.01227,-3.6135
ROSEUSDT,2026-02-24T09:00:00Z,2026-02-24T18:00:00Z,2026-02-24T18:59:59Z,10,0.01178,0.01275,8.2343,0.01196,0.01272,6.3545
ROSEUSDT,2026-02-24T13:00:00Z,2026-02-24T19:00:00Z,2026-02-24T19:59:59Z,7,0.01181,0.0129,9.2295,0.01193,0.01264,5.9514
ROSEUSDT,2026-02-24T13:00:00Z,2026-02-24T20:00:00Z,2026-02-24T20:59:59Z,8,0.01181,0.0129,9.2295,0.01193,0.01253,5.0293
ROSEUSDT,2026-02-24T13:00:00Z,2026-02-24T21:00:00Z,2026-02-24T21:59:59Z,9,0.01181,0.0129,9.2295,0.01193,0.01242,4.1073
ROSEUSDT,2026-02-24T13:00:00Z,2026-02-24T22:00:00Z,2026-02-24T22:59:59Z,10,0.01181,0.0129,9.2295,0.01193,0.01243,4.1911
ROSEUSDT,2026-02-24T14:00:00Z,2026-02-24T23:00:00Z,2026-02-24T23:59:59Z,10,0.01194,0.0129,8.0402,0.01209,0.01241,2.6468
ROSEUSDT,2026-02-27T21:00:00Z,2026-02-28T06:00:00Z,2026-02-28T06:59:59Z,10,0.01123,0.01246,10.9528,0.01245,0.0113,-9.2369
ROSEUSDT,2026-02-27T23:00:00Z,2026-02-28T07:00:00Z,2026-02-28T07:59:59Z,9,0.01123,0.01241,10.5076,0.01229,0.0114,-7.2417
ROSEUSDT,2026-02-27T23:00:00Z,2026-02-28T08:00:00Z,2026-02-28T08:59:59Z,10,0.01121,0.01241,10.7047,0.01229,0.01124,-8.5435
ROSEUSDT,2026-02-28T00:00:00Z,2026-02-28T09:00:00Z,2026-02-28T09:59:59Z,10,0.01118,0.0124,10.9123,0.01236,0.01123,-9.1424
ROSEUSDT,2026-02-28T01:00:00Z,2026-02-28T10:00:00Z,2026-02-28T10:59:59Z,10,0.01109,0.01237,11.5419,0.01232,0.01114,-9.5779
ROSEUSDT,2026-02-28T02:00:00Z,2026-02-28T11:00:00Z,2026-02-28T11:59:59Z,10,0.01094,0.01228,12.2486,0.01222,0.01099,-10.0655
ROSEUSDT,2026-02-28T03:00:00Z,2026-02-28T12:00:00Z,2026-02-28T12:59:59Z,10,0.0109,0.01226,12.4771,0.01225,0.01105,-9.7959
ROSEUSDT,2026-02-28T04:00:00Z,2026-02-28T13:00:00Z,2026-02-28T13:59:59Z,10,0.0109,0.01214,11.3761,0.01213,0.0114,-6.0181
ROSEUSDT,2026-02-28T05:00:00Z,2026-02-28T14:00:00Z,2026-02-28T14:59:59Z,10,0.0109,0.01205,10.5505,0.01203,0.01121,-6.8163
ROSEUSDT,2026-02-28T06:00:00Z,2026-02-28T15:00:00Z,2026-02-28T15:59:59Z,10,0.0109,0.01194,9.5413,0.01193,0.01126,-5.6161
ROSEUSDT,2026-02-28T12:00:00Z,2026-02-28T19:00:00Z,2026-02-28T19:59:59Z,8,0.0109,0.01201,10.1835,0.011,0.01182,7.4545
ROSEUSDT,2026-02-28T12:00:00Z,2026-02-28T20:00:00Z,2026-02-28T20:59:59Z,9,0.0109,0.01201,10.1835,0.011,0.01184,7.6364
ROSEUSDT,2026-02-28T12:00:00Z,2026-02-28T21:00:00Z,2026-02-28T21:59:59Z,10,0.0109,0.01201,10.1835,0.011,0.01175,6.8182
ROSEUSDT,2026-02-28T13:00:00Z,2026-02-28T22:00:00Z,2026-02-28T22:59:59Z,10,0.011,0.01204,9.4545,0.01105,0.01198,8.4163
ROSEUSDT,2026-02-28T17:00:00Z,2026-02-28T23:00:00Z,2026-02-28T23:59:59Z,7,0.01108,0.01204,8.6643,0.01121,0.01174,4.7279
ROSEUSDT,2026-02-28T17:00:00Z,2026-03-01T00:00:00Z,2026-03-01T00:59:59Z,8,0.01108,0.01204,8.6643,0.01121,0.01168,4.1927
ROSEUSDT,2026-02-28T17:00:00Z,2026-03-01T01:00:00Z,2026-03-01T01:59:59Z,9,0.01108,0.01204,8.6643,0.01121,0.01191,6.2444
ROSEUSDT,2026-02-28T17:00:00Z,2026-03-01T02:00:00Z,2026-03-01T02:59:59Z,10,0.01108,0.0122,10.1083,0.01121,0.01192,6.3336
ROSEUSDT,2026-02-28T18:00:00Z,2026-03-01T03:00:00Z,2026-03-01T03:59:59Z,10,0.01121,0.0122,8.8314,0.01124,0.01182,5.1601
ROSEUSDT,2026-03-02T08:00:00Z,2026-03-02T15:00:00Z,2026-03-02T15:59:59Z,8,0.01084,0.0118,8.8561,0.01095,0.01171,6.9406
ROSEUSDT,2026-03-02T08:00:00Z,2026-03-02T16:00:00Z,2026-03-02T16:59:59Z,9,0.01084,0.01184,9.2251,0.01095,0.01168,6.6667
ROSEUSDT,2026-03-02T08:00:00Z,2026-03-02T17:00:00Z,2026-03-02T17:59:59Z,10,0.01084,0.01184,9.2251,0.01095,0.01165,6.3927
ROSEUSDT,2026-03-02T10:00:00Z,2026-03-02T18:00:00Z,2026-03-02T18:59:59Z,9,0.011,0.01188,8.0,0.01103,0.01171,6.165
ROSEUSDT,2026-03-02T10:00:00Z,2026-03-02T19:00:00Z,2026-03-02T19:59:59Z,10,0.011,0.01188,8.0,0.01103,0.01173,6.3463
ROSEUSDT,2026-03-03T15:00:00Z,2026-03-04T00:00:00Z,2026-03-04T00:59:59Z,10,0.01133,0.01227,8.2966,0.01146,0.01223,6.719
ROSEUSDT,2026-04-07T15:00:00Z,2026-04-07T22:00:00Z,2026-04-07T22:59:59Z,8,0.00934,0.01016,8.7794,0.0094,0.01016,8.0851
ROSEUSDT,2026-04-07T15:00:00Z,2026-04-07T23:00:00Z,2026-04-07T23:59:59Z,9,0.00934,0.01022,9.4218,0.0094,0.01009,7.3404
ROSEUSDT,2026-04-07T15:00:00Z,2026-04-08T00:00:00Z,2026-04-08T00:59:59Z,10,0.00934,0.01022,9.4218,0.0094,0.01001,6.4894
ROSEUSDT,2026-04-07T16:00:00Z,2026-04-08T01:00:00Z,2026-04-08T01:59:59Z,10,0.00946,0.01022,8.0338,0.00947,0.01002,5.8078
ROSEUSDT,2026-04-11T03:00:00Z,2026-04-11T09:00:00Z,2026-04-11T09:59:59Z,7,0.01034,0.01132,9.4778,0.01043,0.01128,8.1496
ROSEUSDT,2026-04-11T03:00:00Z,2026-04-11T10:00:00Z,2026-04-11T10:59:59Z,8,0.01034,0.01132,9.4778,0.01043,0.01126,7.9578
ROSEUSDT,2026-04-11T03:00:00Z,2026-04-11T11:00:00Z,2026-04-11T11:59:59Z,9,0.01034,0.01132,9.4778,0.01043,0.01121,7.4784
ROSEUSDT,2026-04-11T03:00:00Z,2026-04-11T12:00:00Z,2026-04-11T12:59:59Z,10,0.01034,0.01145,10.735,0.01043,0.01101,5.5609
ROSEUSDT,2026-04-11T04:00:00Z,2026-04-11T13:00:00Z,2026-04-11T13:59:59Z,10,0.01035,0.01145,10.628,0.01036,0.01121,8.2046
ROSEUSDT,2026-04-11T05:00:00Z,2026-04-11T14:00:00Z,2026-04-11T14:59:59Z,10,0.01036,0.01145,10.5212,0.01048,0.01118,6.6794
